qid,label
q1415395,Cultural Exclusive
q108874,Cultural Exclusive
q81647906,Cultural Agnostic
q1402592,Cultural Representative
q483247,Cultural Agnostic
q98374631,Cultural Agnostic
q55983715,Cultural Agnostic
q10429667,Cultural Representative
q658255,Cultural Representative
q15081030,Cultural Exclusive
q106859689,Cultural Agnostic
q16823155,Cultural Representative
q16560,Cultural Representative
q5,Cultural Representative
q107357104,Cultural Representative
q188451,Cultural Representative
q220505,Cultural Representative
q11424,Cultural Representative
q223393,Cultural Representative
q28640,Cultural Representative
q28823,Cultural Representative
q11460,Cultural Representative
q2095,Cultural Representative
q116658403,Cultural Representative
q483394,Cultural Representative
q201658,Cultural Representative
q7777573,Cultural Representative
q112248470,Cultural Representative
q1007870,Cultural Representative
q1107679,Cultural Representative
q1762059,Cultural Representative
q4830453,Cultural Representative
q371174,Cultural Representative
q4830453,Cultural Exclusive
q847017,Cultural Exclusive
q1107679,Cultural Exclusive
q64578911,Cultural Exclusive
q20860083,Cultural Exclusive
q223393,Cultural Exclusive
q11424,Cultural Exclusive
q1007870,Cultural Exclusive
q64578911,Cultural Exclusive
q20860083,Cultural Exclusive
q12973014,Cultural Exclusive
q327333,Cultural Exclusive
q11795121,Cultural Exclusive
q28972120,Cultural Exclusive
q1826286,Cultural Exclusive
q7777573,Cultural Exclusive
q220505,Cultural Exclusive
q107357104,Cultural Exclusive
q11460,Cultural Exclusive

